content,label
"(1978-05-04)I had a complex dream. I was traveling back to the Coast to see someone important (the kids, I think). I kept trying to think of the name of the place. City X didn't fit; State Y seemed appropriate. I was traveling first by plane, then by train and then on foot. I remember dreaming saying, ""I'm in a Peyote dream"" I kept meeting E City people, all warm and strong. Rosemary said, ""You could always see deeper than me."" Marty Ac and Jamie.",neutral
"(1978-05-13)I had a strange dream. Someone named Chuck Mahoney had made an album. It was bad. Someone said, ""Here's his second album. Isn't it lucky someone took a chance on him and laid the money down for a second try? It's really good, his second album."" Then Raul and all the men from my past came in. I felt embarrassed. Then a man and a woman were facing each other. A question was asked of the woman. The man was fervently hoping she'd answer correctly in his favor, but she answered ""money"" and the man was very sad. He looked at me and said, ""In some cases, divorce is very good.""",neutral
(1979-07-03)1800's.,neutral
"(1979-07-03)I was in bed. My heart started pounding and then beating irregularly. My spirit came out of my body. I saw my bedroom (arched doorway). I flew out through the window and sort of hung around wondering what I was supposed to do next (Dying was like I was the camera and as I ascended, the room got smaller and more distant). I decided to visit some people. I went to Blake's office. He couldn't see me. I sat cross legged on the desk top facing him, close, eye to eye. He looked suddenly sad. He went to the door, closed it, came back and sat down. I ""enveloped him"" with my spirit. He felt very sad. Then I ascended and went to Nate at his shop. The same thing. Then I was in a cloudy sky going up. I felt a little apprehensive because I would soon be high enough to run out of oxygen. Then I remembered that I didn't need air. I looked up. I broke through the clouds and felt happy because I was going to live among the stars. They were beautiful, diamond points, in a black velvet sky. I came to an immense hall (floor only, no roofs or walls). This was heaven. There were 2 large buildings at each end of the halls. Libraries were there so we could pursue learning, seeing as how we'd be there for an eternity. I met a girl (possibly Laurie). I asked her what we were supposed to do. She just shrugged and pointed to a door. We could pick rooms to live in. We were placed in general areas so that as other people we knew on Earth died, they'd come to the same area so we could be together. I asked, ""What about people who remarried?"" She answered it was no problem, everyone got along together up here. There were viewers in the library so we could watch people on Earth. I entered a room. There were several shower rooms. My 3 girls were there. If you got in a shower, you were transported back to Earth to live out another's life. I started to enter a shower room. My 2 eldest girls, Dovre and Ellie, had gone in. Then my youngest, Paulina, suddenly changed her mind and veered into another shower room. I hesitated and then followed her because I was worried she'd get into a tough area. I was transported to the body of a young, pretty blonde woman in the process of drowning in a raging white water river. I felt a little aggravated because I'd have to die twice. Then ""we"" made it to shore. I was separated from my daughter. I met people who knew the girl and I tried to understand my new surroundings. There was a man, slightly evil, a harem keeper type. I woke up.",nightmare
(1979-07-04)Snakes in the undergrowth in my office. I asked Kathleen to get rid of them. Big boa constrictors.,neutral
"(1980-02-19)I was in a house. Ants were crawling all over everything. I was appalled. ""Yuck."" I tried to find way out without touching them. ""It's just like in that movie,"" I said. I opened the door and went out. There were lots of people. Then I was an ant (only still my real self). A large person (woman) came to contemptuously step on me. ""Get in that hole,"" she sneered. I was laying down and trying to squeeze under a post. I didn't fit.",neutral
"(1980-02-19)Some one was injured. A child or a friend who was disabled. I was upset and frantic to find her. Minister had a speech problem. The angrier he got, the more he lisped and couldn't speak. He called on the phone to find out where the child was taken. We walked down a sidewalk. He said, ""She was taken to the Monastery. Can you handle it?"" I was explaining to him that I am a chameleon. ""I have one basic personality but I blend in comfortably with lots of different people types."" I said, ""I can feel comfortable and make them comfortable, about Roman Catholics and about being conservative."" He looked at me. ""You are conservative."" He said. I was startled that he knew. ""How did you know?"" I said. Then we're at a big palace, his home. People were talking about me behind my back. I awoke with the phrase, ""A cripple for a Queen,"" being whispered. The minister was apparently the King of England.",happy
"(1980-02-25)Some heavy journey in the wilderness. Then, a young girl in a white satin bride dress comes into my shop. Everything is white. She is snotty and doesn't like me. She then goes into the next section of my shop, all white tablecloths, glasses, etc. She sits on red velvet. I think, ""How beautiful."" I then go to get in my car that I have finally gotten from my brother. It's a blue and white '55 Chevy with a continental kit. It's in good shape. It's punch hooked beautifully all over the outside. Both of my brothers are in the enormous backseat. Dwight is laughing and saying that the bride's brother doesn't want to marry me, but his family will force him to. He teases me because he knows I want to marry this guy. I think, ""Hum, it could be interesting if we married,"" like it would be a challenge to get him to love me. I then tell Dwight the car is his. He grins and gets into the driver's seat. We start going. I grab at a styrofoam cup with coffee, cigs, ashtray, etc. and put them in my lap. I am sitting on a car seat that is sideways to the rest of the seats. Hot wax (pink) spills on my pant leg. Dwight drives us to a ""turn-out"" on a bridge that over looks the town of M City main street.",happy
"(1980-02-25)Patsy wanted to show me something. Had a question. It was important. I went to a side room and knocked on the door. A man was inside (black). I had a lot of respect for him. Then as I opened the door, I saw that he had enormous, hard wood, tall (10 feet), pieces of furniture (grandfather clocks). At first I said, ""I'm sorry to bother you. I'll only take 5 minutes."" Then I exclaimed, ""Oh, you have the clocks. They're not lost."" I looked at one small one on a cabinet and admired the intricate inner workings. He smiled. I asked him my question. He helped me. It was a warm and gentle relationship. He was sitting on a bed. Then another man came in. He loved me. Patsy put a mortar board graduation hat on my head. He smiled. I said, ""I got another degree, my master's, no, a second degree."" I was sitting on the bed. He kissed me. I layed down. The hat wouldn't stay on. We agreed to get married. The door opened and Patsy was leaving. A third man looked in. He was sad because I wasn't marrying him.",happy
"(1980-10-19)Later, I had a confrontation with an authority figure (I think it was me). I had something I was going to trade for the coral pillow that was directly connected with my mother's ""enslavement."" He had her under his power (like blackmail) as long as he had the coral pillow. He said, ""You want all of it?"" I said, ""Yes."" He said, ""O.K."" Then I was driving. Some one is with me (a young man, I think). I take a new path. It's like I was saying to myself, ""Ah, ya, I'm free now. I can break the old habits and take a new path. I felt scared, like he would disapprove and I'd get in trouble. Then over a rise, I saw the ocean from a new perspective and it was beautiful. Then I went over the rise. The path was so steep, like a cliff. I made it. There was a table in the ocean. Some person had his head in the ""sand."" On the table was an old faded silk pillow with a picture of a leopard on it (like my needlepoint pillow). I felt blocked by this man, but then I just reached out and took the pillow and gave it to my mother (the man and my mother were also me). I felt very free and exhilarated.",neutral
"(1980-10-22)I'm in a pool of water. My oldest daughter Dovre, is with me. She has 3 air mattresses she is laying on; she keeps rearranging them. One has a nice texture, another goes inside the outer layer of the other. I'm on an air mattress too. I float to the shallows. There is a large house near by. I say that I'm really tired. I don't want to go to the ""thing"" tonight. ""Maybe I'll go and take a nap and later we can go."" She agrees. I go to the house. I'm in the kitchen and my cousin Darcy is upstairs. She screams and runs down to us. We go upstairs because we can't understand what she is telling us. She points to a bed covered with blankets and clothes. The electric blanket on top keeps sparking. She's frantic about that spark. ""It will start a fire."" I calm her down and she leaves. I look at the dresser against the wall behind the bed and it's covered with clothes, things. I sigh because it will take a lot of work to put it all in order and pack it. I start downstairs and an old woman, the landlady, is at the bottom coming up to see what all the fuss is about. I talk to her as I descend. Then I notice a few people sitting around and standing in my living room. Now it's a cocktail party. Everyone has name tags. A balding man stops me and introduces himself and says,""Hi."" He knows Verna the librarian and he just wanted to say hi. He says something else but I don't hear it. I pretend I understand and nod hoping I made the right response. There are 3 or 4 couples on or near the couch. I go over there. A reddish-haired guy comes down the stairs playing detective. He's sleuthing for his birthday present. It is some family custom of my neighbors that are somehow in-law related to me. He finds a cardboard box with record albums in it, alphabetized with ABC indexes. He pulls one out and hands it to a woman, his mate. He says the name of it and shrugs and says, ""I'd give it a 9."" She's a little put out at him. What if the giver of the present were around. They'll have hurt feelings. His name is Gary. Then the other couple's cardboard boxes appear on their laps and they do it also. I am there but not a real part of the group.",nightmare
"(1980-11-04)Later, I'm at a hotel to go to an Iron Duchess conference. My father is there to help me carry in my suitcase etc. We are at the bar, at the check-in desk, and I say, ""I'll meet you in the bar downstairs; I'm going to go see if the people are here yet."" The way to get to the bar downstairs is to drop down from the level I'm at now. I'm walking. I sit on the floor and then hang on the edge and let my body swing down. I'm afraid to let go because it's quite a drop. I'm afraid I'll hurt myself, my ankles. I look for a bartender or someone to help me, but no one. I let go and land on my right foot. I'm surprised that it didn't hurt. I look around and then I see the conference room and Rochelle. She waves to me. I'm a little embarrassed because I'm walking (so I sit on a couch with another woman). I see B. B. and she welcomes me and introduces me to Jim D, only it's a woman. They laugh, ""Ha, ha,"" a funny joke. I shake my head. ""Boy, I'm sure slow today. I just heard the intro and believed it."" We all laughed. I say, ""Well, I'll be back. I'm going to see what's keeping my father and where my room is etc."" I was thinking, ""I sure hope none of them are my room mates,"" (some are lesbians). I go back to the bar to find my father. He's nowhere in sight. There are lots of guys (B. B. comes with me). They are looking at us. I make a big show of looking for my father so they'll know what I'm doing. Someone keeps whistling at me (not a wolf whistle), so I think, ""Maybe it's Dad,"" and I continue to look around. Finally I figure out that he's still upstairs, so I go to the elevator, conscious of all the distance I'm walking. I get back upstairs and he's waiting for me. He'd taken my suitcase to my rooms for me. I was glad to find him. I was feeling worried about him as though he were a lost kid and might be afraid.",happy
"(1980-11-07)Before this dream, I had another one. All I remember is that I married B.F. Skinner, and then I married my own cousin Abner and then he changed to Willie, his older brother.",neutral
"(1980-11-11)The end of the world. Outside forces of the universe were pulling on Earth. We were in our final days, volcanos, ash falls, real lava. I was in a small town, like M City. There were feelings of doom, some panic. We were getting ready to be rescued by a big plane but it needed a place to land. I looked around. The ground was too bumpy and full of sage brush. The railroad tracks were the only answer. But then I saw a train load of people on the tracks. I felt upset and annoyed. I couldn't let the plane land until I'd cleared the tracks. The people got off the train. They were insane, crazy, helpless people. I feel overwhelmed, sad. I wanted to get rescued. I didn't want to die, but I can't just abandon these people in their need. I couldn't make the order that would kill them. I was annoyed. I thought, ""Maybe I will. To hell with them,"" but I couldn't.",neutral
"(1980-11-13)Later dream. I found a small monkey, miniature, really. He was given to me. He was in a bird cage, gold. There was glass so it was also like a fishbowl. It was dying because there was no air, food, or water. I opened a door in the glass to let in air. I could hear it hissing in and I could feel the flow of air into the cage. It was cold and ""mean."" I then got his food and water containers. I ""thought"" talked to it soothingly. ""Poor little thing. I'll bet you think I'm taking this away from you to hurt you, but see, I'm filling the cup and it's fresh. Now, here's the water. That's the most important, isn't it?"" The water cup then partially collapsed and the water spilled onto the food, but it was still O.K., just a little messy. Then I got nervous. I watched as the monkey changed. It was supposed to be cute and sit on my shoulder and chitter and be furry and hug me. I had held the door partially open with my keys (on a little sandal shoe), but the monkey was tiny, like a spider with a long tail. Then it was a small snake. I got really scared. The snake was growing and it was going to eat me, or kill me. It grew and I fled the room. I was on a road/freeway. There were many cars. I was in one. We were all fleeing the snake. It was huge now. The freeway was choked with cars. There was road construction and dust was thick in the air. I heard the screams of the others being killed by the snake. I felt fear and a certainty that this was it. No escape. The snake would get me. I looked to my left. The snake was on a moving train, devouring it and the people on it. I veered to the right and got out of the car, I tried to make myself very small and tried to burrow into the ground. I was burying myself alive to escape the notice of the snake. I felt doomed. It would find me.",nightmare
"(1980-11-16)Jim R. was telling me he loved me. He looked shy. He said, ""I've really changed since high school. I've opened up."" He allowed his feelings to show. I felt warmth for him. I said, ""Ya, me too."" We shared this discovery.",happy
"(1980-11-18)A huge house with a brick front and bay windows (centuries old) started to shake. All the bricks were falling off and the window shattered, like an earthquake. I remembered the kids were in the house and so were Andrea's babies. I hesitated and then went in to get my girls. Ellie was being stubborn. She and I argued all the way out. I sensed that the babies were still in the house, but I went on out with my kids. Lots of pieces of the house were falling all around us. We crowded into a doorway across the lawn from the house. Something about a lot of pills. A man was near by.",happy
"(1980-11-21)I am in a movie theater eating popcorn. I find a coupon. I have won a prize. It's a big one. I get up to go to the candy counter. I realize that I left my purse at the seat, so I ""conjure"" it up. I ask the lady at the counter what my prize is. She shows me the picture on the coupon. It's a grill, lots of food. I ask her to repeat; she speaks but I can't understand the words. It's something about a scholarship to a college. I look up to see my Aunt Esther and Dora. I'm delighted to see them and I say, ""Oh, How nice to see you. It's been a long time."" We chat. Then I go outside. There is lots of water. I'm standing on a dock. I see 2 lines of relatives. Uncle Lionel has a white handkerchief over his face (lower half). He has an allergy. Some of my relatives get into a boat and drive away, across a wooden boundary between 2 bodies of water. Uncle Lionel is shocked. ""I'd never be such a fool as to do that."" Then my father gets into a small row boat and I get in. He slowly and carefully goes over the wooden boundary. The motor gets caught. My father says ""Uh-oh."" I say, ""Don't tell me uh-oh, when we're in deep water."" We then get over the thing. Then I'm in a canal. An Indian guide is behind me paddling. He is reciting the legends of our people. I feel like I'm going home.",sad
"(1980-11-27)Patsy and I are going to rehearse for a scene for a play. I get on her shoulders, my long skirt dropped over her head. I worry she'll smell a vagina odor. We walk around like that. We're in a big office. I'm an employee there. It's my office.",neutral
(1980-11-27)Co-worker Tyler comes by and wants to talk to me. I want to talk to him but people keep interrupting.,neutral
(1980-11-30)I'm at school. Going to a meeting. Bonnie and I.,neutral
"(1980-11-30)I was asleep in my bed at home. I was in a deep sleep, the kind on the edge of waking, just after you've fallen asleep. I was aware that I was fast asleep and meditating. My body slid to the side of the bed; I was in danger of falling out. My arm draped over the edge and my hand hit the floor. I felt it. I became afraid and wanted to wake up so I wouldn't fall and hurt myself. I decided to relax and flow with whatever happened. Then I was in an unidentified room sitting up but my body wasn't there. The only things in my room were a window and a chair. I felt myself growing smaller. The room got bigger and bigger. The chair got taller and taller until I was so small, I was the size of an insect. I then realized that if there were a spider in the room, I'd be so small it could really hurt me. I started growing bigger, out of fear. I began filling the room. I raised my arms skyward and I was as big as the Earth. My hands reached out clear into the stars. Suddenly, I saw a pair of hands holding my hands and I heard or sensed the statement, ""I'm here."" I feel overwhelmed with what I'd done, and retreated back to my sleeping body. I was still not able or ready to wake up yet. I flew for awhile, higher and higher. I was aware of a sense of height and that I'm afraid of heights in reality. I saw mountains and red and blue houses on farmed lands. I enjoyed my feeling of flying. I came back to my body. I was not willing to wake up yet. The rest is hazy, meeting people at a meeting.",happy
"(1980-12-02)I was in a restaurant. 2 women were standing in front of me. One was saying to the other, ""It sure is crowded...Oh look I see a spot. Do you mind if we sit at separate tables?"" The other woman replied, ""Yes, I mind. I don't want to be alone."" Then the other woman saw a spot, near a man. She said, ""Look, a man, over by the man. We can sit there."" I was embarrassed and walked past them. I was looking for the restroom. The place was crowded. I walked to the back of the room. A long line of men were waiting for the men's restroom. I noticed there was no one waiting for the women's room. I thought, ""Oh, because there aren't many women here."" I walked past a bench with 3 men on it. They looked at me. I felt nervous and dropped eye contact. I had to step over 2 men in wheelchairs that were in the way. I went to the women's room. It was empty. I looked into the stalls. One was filled with vomit. I yelled out, ""Nate!"" all annoyed. He came in to fix the toilets. He flushed one. It worked and filled with clean water. He looked at me and I at him like, ""Ah, good work."" Then as he started to leave, it flushed again. We could tell by the sound that it was going to overflow. I looked around for someplace to sit, to get my feet up. I sat on the sink. The sewage and water spilled out on the floor and made a stream to the door, past me. Some women were coming in. I waved them to back up. I said, ""Get out, this place isn't working."" The water was getting higher. I thought, ""If I stay here, I might drown,"" and then I knew that I couldn't, because the water was flowing out of the room. By now, I saw that the water was coming from a river, cold, clear water slightly contaminated with sewage. The water was waist high. George came up to me. He put his right hand to Andrea and with his left hand, he took my hand and pulled us into the water. We were going to swim for safety. I was a little annoyed. I didn't particularly feel I needed saving. He pulled me through the water. I tried to keep my cigs dry by holding them up and I tried to keep my head out of the water. When I kicked my feet or assisted, I got water in my face. When I let George pull, I was fine. We went through a door (the back of the toilet stall that had been a wall). A general in the army came up to me. I noticed that my feet touched bottom; the water was chest high. He looked at me with respect and compassion. He said, ""After you get past this door, you probably won't remember much but that's for the best."" His tone and face indicated I had been very heroic and had been through a difficult time. We swam along. He asked me what brand I smoked. I smiled. I said, ""Salems."" He said, ""Oh, good."" He had Salems and was so pleased he wouldn't have to offend me with a different brand. I noticed that the Salems he offered me were shorter. I said, ""Oh, well, that's O.K."" We swam into a lobby. I saw a young ""Mickey Rooney"" movie star. He was full of ego, asking people in a seemingly offhand way if they thought he was a good actor. Then someone said to me, ""Have you seen the movie '2 soccors'?,"" a story of 2 women who heroically trained for a race, or to play the game of soccer. I saw the woman training, running straight up a tracked hill and the pain and the exhaustion on their faces. I admired their guts. Then I said, ""I didn't like the movie because the movie featured the trials and tribulations of Robert Redford (a grown up Mickey Rooney), and only indirectly told the story of these brave women."" Real sexist. I then saw Robert Redford up in a plane. It was about to explode and then it did. He reached back and picked up something and fell out. I thought, ""Ugh, how awful to be falling to Earth and knowing that in a few seconds you'll be dead."" A bunch of jet planes, with flames coming out of the after burners, saw him fall and turned in formation to get to him. I thought, ""How silly. So many of them and they can't do any good."" He crashed. I saw the jet land and was amazed how fast they could land. Then I walked back to the restaurant and the dream cycled over again.",sad
"(1980-12-11)Some man and I were chaperons or protectors of a group of adolescent children. We were in a jungle. There was a tribe out there in the jungle that was out to get us. I had 2 dogs to guard me wherever I went, a black one and a cream colored one. This man and I were very attracted to each other, in the throes of falling in love, but we were always involved with helping these kids. They were between us. Early one morning, I got up to take a bath on the porch. It was a rare moment of privacy. One of the adolescent boys woke up the man and suggested he take this opportunity to speak to me. He did. He approached me. We looked at each other. We were wearing bathrobes and mine was partially undone exposing parts of me in a seductive (innocent) way. I sprayed water on him from the hose and we laughed. He and I kissed. The dogs then got restless (not because of us but because they sensed danger from the jungle). The man and I were then captured by the enemy tribe (I never saw them), and taken away. Now we're in separate circles (like a hut, only there is no hut). I was naked, had long blonde hair I was tied up. I was eating food out of a dish like an animal. He snuck a message to me; it was written on computer print-out paper (the message was handwritten and in code). He started with ""Dear Naked Girl: Couldn't help but notice."" It was a joke and I smiled. I then broke my bonds and was able to escape. I had a choice. I could assist him to break his bonds and we could escape together, or I could escape and send back help. He urged me to go on and I agreed reluctantly because I'd be likely to get caught again if I went back for him alone. I traveled through the jungle. It was rough. I made it back and rescued him by sending back reinforcements. Then, I was in an office with lots of window spaces. I was on the phone talking with some sales person. I kept asking for his product; he kept sending defective ones to me. I refused to accept it and then he sent me another and it was also defective and I refused it. Finally, I got angry. I told him firmly that not only will I not accept this shoddy treatment but I shall officially complain to his headquarters. He was pissed and left the phone. A woman secretary responded to me. She tiredly agreed but said it was probable it won't do any good. I noticed my evidence was fading away and I felt frustrated and wanted to give up the pursuit. Then, co-worker Tyler came into the office. He, Kathleen and I were to have a talk. Tyler and I walked up a long stair case and sat on the top (like thrones on a roller coaster ride). Then Kathleen came up the stairs. Someone said that she did a great job rescuing Tyler in the jungle single-handedly but now she should apologize to Tyler for undermining his male ego. Tyler looked relieved and said, ""Oh, good. I would really like that. It would help."" I looked at him. I was surprised and sad because he was like all the rest and I thought he wasn't. Kathleen then approached slowly and ceremoniously. She bowed her head and said, ""I'm sorry, I'm sorry."" I stood up and said, ""I'm sorry but I simply can't handle this. I'm leaving."" I felt badly because of what was happening (both the scene and my leaving). I walked down the long steps and went into my office. I shut all the doors and windows and started pacing. I felt suppressed, upset, sad, and angry. I wanted to go back to explain to them why I had left, but I thought it was futile. I wanted to pack up and leave, but that would be quitting. Kathleen walked in. She was very angry with me. She lectured me and said, ""Isn't it amazing how one little thing can put a stop to everything? And it's all over?"" I said, ""Wait, I want to explain."" She snapped, ""Explain? Tyler was ready. He wanted to get close. He said you should give up Ellie's estate because you can't handle her. He said you should not have changed your name and should change it back."" I said, ""He told you that?"" I was half annoyed and half wondering what it all meant about Tyler and me. ""Would he have told me that if I'd stayed?"" She said, ""You? No, He would have told Helen."" I wondered who Helen was but sensed that it was someone like a wife he had. Kathleen slammed the door on me. I went to the bottom of the stairs and looked up. I saw Tyler talking to the man in the jungle. I wanted to go up and talk to straighten it out, but then I gave up. It was too overwhelming.",happy
"(1980-12-11)I dreamt that I woke up to see my daughter Paulina floating on the ceiling. She was naked, with long blonde hair, sleeping in a curled position. I got frightened and looked to my right to be reassured that Paulina was her regular little girl self asleep beside me. She was, and I calmed down. I had a sense of fear about this visualization, like I was seeing her/me in a past life.",neutral
"(1980-12-15)I was in a house, a ranch house. Paul Newman came in. We discussed what it was like when he took acting from the same teacher I am taking it from. He described doing real acting assignments in Hollywood. I was disappointed because all we do is rehearse and perform in class. I felt envious of his good experiences and sad that it still wasn't that way. As we were talking, a feeling of camaraderie developed. I then saw a flood rising outside. My rancher father was concerned because he'd have to ride out and see if it would threaten our ranch. I ran to the door and stopped him. I said, ""Wait. I'm a better rider and lighter. I'll go."" He refused. I said, ""Are you afraid that if something happens to me, others will talk because I'm a girl and you should have gone."" He muttered, ""Ya."" I got ready to go. I looked out the window. Water was swirling around. Paul Newman looked to the mountains and said, ""It's not so bad."" I drew him to the window and showed him. We were looking at the wrong place. He gave me his T-shirt to wear. It was too tight and he had to help me put it on. I was embarrassed. The water was rising and we had to escape out the window. We swam and found a high niche of ground and crawled up there. We kissed. There was a feeling of closeness. We really liked and respected each other. Then, the water receded and we had to go back. He and I were sad because we had to part. He was married and was in love with his wife. I got my horse and sloshed through the lowering water level back to the ranch alone.",happy
"(1980-12-17)Nate dove into a pool and was caught by something strong and fierce, maybe a snake because he swirled and struggled in a downward struggle. I felt very detached. Then, I was sitting in my room and I heard a door in the back slam. Nate stumbled in clutching his stomach. He was in terrible pain. I went to him and he cried out in pain when I touched him. He said, ""Call the hospital. I was attacked!"" I was shook up. I tried to comfort him and looked for the hospital # in the phone book. I was looking in the yellow pages. I couldn't find it. I felt scared and frustrated. I talked to Nate. ""It's going to be all right."" He said, ""Hurry, hurry, oh, the pain."" I felt guilty because I realized that I had watched him struggle and didn't lift a finger to help him. I was also aware that the attack was meant for me. We were 1 block from the hospital. I said, ""Can I help you over there?"" He cried out, ""No, get an ambulance because of the pain!,"" (possible internal injuries). I tried looking in the white pages, but I couldn't find it, and then I noticed the part of the pages in the ""S's"" had been tampered with. I felt ominous, like the attacker had done it. I tried the yellow pages again. In frustration, I called information. A tired woman came on and said, ""I'll help you look for your number but I won't do it for you."" I explained the emergency and she grudgingly agreed to find it while I was waiting. I said, ""Oh, I guess I can't visit you because I'll run into your wife."" He said, ""Yes you can, I'll call when it's clear.""",neutral
"(1980-12-18)Lots of rain. I'm driving down a road. Parts of it are flooded. I see little cozy cottages, Victorian, with fireplaces. They look inviting. I pass up a bunch because there's a really nice one down the road.",neutral
"(1980-12-18)I go to a meeting. I walk in. I bring co-workers Josh and Dylan in with me. I sit in a high backed office chair (that has a foot rest like Dr. X's chair). I sit in it to get hypnotized. My chair is facing to the right, perpendicular to desk. An old lady and a detective are on the bench with Josh and Dylan and look to the man behind the desk. I introduce, ""Josh, Director of C. and Dylan, Coordinator of Counseling."" The man behind the desk observes these guys with their titles and he introduces himself with some large title. Josh looks like his usual confused and uncertain self. Dylan looks supportive. I ask the man if he's done as I had asked, to find the person and all about him without letting him know anything about me. The detective and the old lady then took me to find this person. I don't know who it is (maybe my father).",neutral
"(1980-12-21)There is some sort of meeting. A bunch of male counselors and me. Hank, Tyler, some others and I meet on an island. This is our second meeting. The first one was five years ago. We greet each other enthusiastically. I'm talking to Hank. I'm reminiscing about the first meeting. I say, ""Can you imagine, we had Nixon and XXX, his side kick, here. I say it somewhat hushed because I'm not sure if everybody feels the same way I do. I'm amazed that we'd have sickies like that in our group.",neutral
"(1980-12-25)A vocational rehab counselor was questioning me about my cousin Sonja and her capabilities as a VR counselor in the coast office. I told him that Sonja and I go back as far as birth. She had a few things to learn yet, but she was pretty good. He said he wanted to know more. We got into a car and drove to the M City house. There was some snow on the ground. I suggested that he park in the driveway. I say, ""Turn right into the driveway."" He obstinately turned left into a bank of dirt and snow. He and I agree that that won't do. He turned the car around and parked on the street, facing the ""bad corner."" I was concerned but saw another car was parked right on the corner so that we were protected from collision. We go into the house. I took him the full length of the house to the far end. I say, ""Let's start at the oldest part."" It was a freshly remodeled room, empty of furniture, and freshly painted. I told him how this used to be a half-finished garage. I pointed out where the grape vines used to be. It was now a lovely wall with windows. We moved to the next room, the rec room. I pointed to the door. I said, ""It used to be somewhere else. I still can't get used to it being there and it startles me when it opens. It too has been freshly remodeled."" As he and I had driven up to the house, I had pointed out the rising creek that was in flood stage. I told him that sometimes the creek came right up to the door and sometimes came in and started to flood the house. [BL]",happy
[BL],neutral
"(1980-12-27)I have come home from a play or a costume party to a small apartment. I am expecting someone, a male, I think Desmond. I have a Little Bo Peep costume and hat on (like I wore for Halloween), only it's blue. I have lots of blue eyeshadow on my eyes. I go into the bedroom to a bathroom. I look in the mirror and like what I see. I decide to stay in costume for when Desmond comes over. It's later in the evening and I've been in the costume for many hours. My makeup feels itchy, so I go to bathroom number 2. I look in the mirror. I have blue make up all over my face and white highliner. I see some of the makeup is coming off. I decide to wash my face before Desmond comes. I will keep the dress and the blue feather earrings on though. I start to wash my face. My wheelchair is the toilet. It's messy. I think I should clean if off (shit). It's behind me as I stand at the sink. Every time I bend over to the sink, my dress brushes on the messy part. I get annoyed. The light bulbs are getting dim. I turn and pull a chain on one fixture. A small bulb barely lights up the place. I turn to the double sink and turn on the water, and scrub my face with soap and water. Most of the blue is gone and some of the red is smeared. I feel like I'm in a hurry to look pretty. The light bulb goes out. I see the sinks have overflowed onto the floor. I'm standing barefoot on soggy carpet with water to mid-calf. I pull the plug and all the water goes away. I look in the mirror again and pull many clips from my long hair which kept my hair up under my fancy hat. Now, it's nearly totally dark. I go from one light fixture to another, pulling their chains but all the bulbs are blown. I think, ""I could go get new lightbulbs."" They are in the closet but I can't seem to find the closet. I feel closed in by the dark. I grab my hat, put it back on, leave the room, remember my earrings, and decide not to go back to get them. I go to the bedroom (unused), and look in the mirror, then into bathroom #1. There are some Xmas cards taped to the door.",happy
